"","Stock_Name","Stock_Species","Stock_Abundance","Forecasting_Year","Run_Year","Brood_Year","Age_Class","Average_Terminal_Run"
"1","Sample Stock","Chinook salmon","Terminal Run","2014","1991","1988","3","607"
"2","","","","","1992","1988","4","3926"
"3","","","","","1993","1988","5","2722"
"4","","","","","1994","1988","6","166"
"5","","","","","1992","1989","3","1301"
"6","","","","","1993","1989","4","1881"
"7","","","","","1994","1989","5","3335"
"8","","","","","1995","1989","6","219"
"9","","","","","1993","1990","3","644"
"10","","","","","1994","1990","4","2928"
"11","","","","","1995","1990","5","3648"
"12","","","","","1996","1990","6","772"
"13","","","","","1994","1991","3","57"
"14","","","","","1995","1991","4","434"
"15","","","","","1996","1991","5","1702"
"16","","","","","1997","1991","6","55"
"17","","","","","1995","1992","3","893"
"18","","","","","1996","1992","4","6001"
"19","","","","","1997","1992","5","7109"
"20","","","","","1998","1992","6","900"
"21","","","","","1996","1993","3","736"
"22","","","","","1997","1993","4","2245"
"23","","","","","1998","1993","5","2755"
"24","","","","","1999","1993","6","169"
"25","","","","","1997","1994","3","617"
"26","","","","","1998","1994","4","4023"
"27","","","","","1999","1994","5","3888"
"28","","","","","2000","1994","6","133"
"29","","","","","1998","1995","3","567"
"30","","","","","1999","1995","4","3528"
"31","","","","","2000","1995","5","2269"
"32","","","","","2001","1995","6","47"
"33","","","","","1999","1996","3","479"
"34","","","","","2000","1996","4","2475"
"35","","","","","2001","1996","5","1245"
"36","","","","","2002","1996","6","34"
"37","","","","","2000","1997","3","1979"
"38","","","","","2001","1997","4","7234"
"39","","","","","2002","1997","5","5566"
"40","","","","","2003","1997","6","116"
"41","","","","","2001","1998","3","3134"
"42","","","","","2002","1998","4","7935"
"43","","","","","2003","1998","5","4079"
"44","","","","","2004","1998","6","485"
"45","","","","","2002","1999","3","4554"
"46","","","","","2003","1999","4","5667"
"47","","","","","2004","1999","5","4598"
"48","","","","","2005","1999","6","395"
"49","","","","","2003","2000","3","1044"
"50","","","","","2004","2000","4","3659"
"51","","","","","2005","2000","5","3740"
"52","","","","","2006","2000","6","992"
"53","","","","","2004","2001","3","1232"
"54","","","","","2005","2001","4","2977"
"55","","","","","2006","2001","5","1860"
"56","","","","","2007","2001","6","512"
"57","","","","","2005","2002","3","1002"
"58","","","","","2006","2002","4","1860"
"59","","","","","2007","2002","5","3279"
"60","","","","","2008","2002","6","879"
"61","","","","","2006","2003","3","5"
"62","","","","","2007","2003","4","512"
"63","","","","","2008","2003","5","1641"
"64","","","","","2009","2003","6","20"
"65","","","","","2007","2004","3","5"
"66","","","","","2008","2004","4","1055"
"67","","","","","2009","2004","5","1211"
"68","","","","","2010","2004","6","44"
"69","","","","","2008","2005","3","234"
"70","","","","","2009","2005","4","2423"
"71","","","","","2010","2005","5","1313"
"72","","","","","2011","2005","6","62"
"73","","","","","2009","2006","3","908"
"74","","","","","2010","2006","4","1557"
"75","","","","","2011","2006","5","1417"
"76","","","","","2012","2006","6","35"
"77","","","","","2010","2007","3","1524"
"78","","","","","2011","2007","4","3523"
"79","","","","","2012","2007","5","1655"
"80","","","","","2013","2007","6","137"
"81","","","","","2011","2008","3","1170"
"82","","","","","2012","2008","4","2540"
"83","","","","","2013","2008","5","1688"
"84","","","","","2014","2008","6","109"
"85","","","","","2012","2009","3","2546"
"86","","","","","2013","2009","4","10176"
"87","","","","","2014","2009","5","2418"
"88","","","","","2015","2009","6","170"
"89","","","","","2013","2010","3","3035"
"90","","","","","2014","2010","4","5681"
"91","","","","","2015","2010","5","2943"
"92","","","","","2016","2010","6",""
"93","","","","","2014","2011","3","1154"
"94","","","","","2015","2011","4","5320"
"95","","","","","2016","2011","5",""
"96","","","","","2015","2012","3","4188"
"97","","","","","2016","2012","4",""
"98","","","","","2016","2013","3",""
