Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Terminal_Run
Taku,sockeye salmoon,Terminal Run,2025,1984,1982,2,137.7026668
,,,,1985,1983,2,213.1176536
,,,,1986,1984,2,15.16103016
,,,,1987,1985,2,530.6522335
,,,,1988,1986,2,173.8015631
,,,,1989,1987,2,192.9459714
,,,,1990,1988,2,233.3261522
,,,,1991,1989,2,97.48256882
,,,,1992,1990,2,195.4525653
,,,,1993,1991,2,162.762244
,,,,1994,1992,2,572.7466562
,,,,1995,1993,2,157.1448443
,,,,1996,1994,2,47.34204431
,,,,1997,1995,2,101.0448297
,,,,1998,1996,2,29.60763122
,,,,1999,1997,2,478.6033271
,,,,2000,1998,2,51.07654742
,,,,2001,1999,2,585.9512971
,,,,2002,2000,2,180.3278488
,,,,2003,2001,2,291.3759187
,,,,2004,2002,2,226.771584
,,,,2005,2003,2,460.1412465
,,,,2006,2004,2,315.1941201
,,,,2007,2005,2,345.5569747
,,,,2008,2006,2,399.8652535
,,,,2009,2007,2,273.9390856
,,,,2010,2008,2,403.9480106
,,,,2011,2009,2,466.7977181
,,,,2012,2010,2,280.2342651
,,,,2013,2011,2,644.2975496
,,,,2014,2012,2,298.012036
,,,,2015,2013,2,397.7255734
,,,,2016,2014,2,215.1028858
,,,,2017,2015,2,204.0377399
,,,,2018,2016,2,556.1414492
,,,,2019,2017,2,0
,,,,2020,2018,2,0
,,,,2021,2019,2,0
,,,,2022,2020,2,0
,,,,2023,2021,2,1455.019188
,,,,2024,2022,2,220.1063216
,,,,1984,1981,3,1605.008505
,,,,1985,1982,3,4984.039078
,,,,1986,1983,3,4657.456291
,,,,1987,1984,3,994.0368717
,,,,1988,1985,3,4439.646603
,,,,1989,1986,3,2599.003436
,,,,1990,1987,3,4357.841978
,,,,1991,1988,3,9615.363035
,,,,1992,1989,3,7712.752571
,,,,1993,1990,3,4960.277096
,,,,1994,1991,3,4136.835049
